t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
0.000000000000000000e+00,9.999999999981982191e-01,9.999999999981677989e-01,9.999999999981569188e-01,9.999999999979232168e-01,9.999999999982963628e-01,9.999999999980723198e-01,9.999999999983835153e-01,9.999999999979830578e-01,9.999999999978144150e-01,9.999999999981086241e-01
1.000000000000000021e-02,6.012750618292758004e-03,8.444719284584779606e-01,5.658018492999222770e-01,3.539636679495768989e-01,9.426037699310024776e-01,5.963359151891571841e-01,8.724347439267913229e-01,2.837197525812513305e-02,8.675723949981657412e-01,6.482950844847006344e-01
2.000000000000000042e-02,1.867005645524605628e-01,9.044415175324639344e-01,2.253632903937582282e-02,8.623276796409929945e-01,9.255671461748237183e-01,6.147961288672374458e-01,8.962353926484213362e-01,4.411737336381366115e-02,7.540712033752896559e-01,1.221469156964566094e-01
2.999999999999999889e-02,2.807745472228463310e-02,5.775196798147582689e-01,4.799127941808937203e-01,2.968782222381510447e-02,8.656626763540634650e-01,7.562643972216217536e-01,6.265675850979804951e-01,4.228114576068366798e-02,7.872750092671555455e-01,5.185288638620431240e-02
4.000000000000000083e-02,7.041993339557489628e-02,8.084881469247299224e-01,2.757709885981111109e-01,8.623127253447969709e-01,9.309523786438500537e-01,2.179026785349451878e-01,8.473702812978856080e-01,1.525887130811411363e-01,5.377127545387426766e-01,3.500111562713943969e-01
5.000000000000000278e-02,1.892033699349812692e-02,6.755963054824334346e-01,6.662902160918090511e-01,9.013157009339602954e-01,8.095544706758287523e-01,4.639806960506409617e-01,7.047599234812038649e-01,6.389123994418945129e-02,3.764158334771135483e-01,1.192405808814111789e-01
5.999999999999999778e-02,3.595325484929716708e-01,8.418138460812665258e-01,7.954649559377562074e-02,7.213606423350300556e-01,8.966888527299656797e-01,7.970384780435066929e-01,8.187131988917115688e-01,4.742223208045835414e-01,8.304614851531225694e-01,3.004059729770393039e-01
7.000000000000000666e-02,1.961537320259727490e-01,9.276096343843471814e-01,4.431382118570509343e-01,3.714473351838570858e-02,7.380522794815324028e-01,8.244109702736662770e-01,8.746018446813583758e-01,8.710753719545770712e-01,4.607630192896647880e-01,8.145537667081900191e-01
8.000000000000000167e-02,2.962128289559148864e-01,9.245969222442975699e-01,9.110788401098435241e-01,4.663981317404928828e-01,8.284901457802984481e-01,6.580026083522448888e-01,9.356960987324228762e-01,5.206676160745818960e-01,4.017600743098276306e-02,7.833941242522779458e-01
8.999999999999999667e-02,1.070838693740390341e-01,7.242230612767402986e-01,3.282616404578434510e-01,7.499205790779343017e-01,6.901976270426926074e-01,5.195283528542949947e-01,7.950773472502260519e-01,5.393981738102009149e-02,5.927650566713925651e-01,5.289307116004297038e-01
1.000000000000000056e-01,1.160609652905883749e-01,8.223797882356237432e-01,1.164993327330134387e-01,6.686472306159748635e-01,6.483674996222126286e-01,9.838445909928086874e-02,5.686867729258869852e-01,4.988620780160745172e-01,5.833160801396556350e-01,2.270255707428536218e-01
1.100000000000000006e-01,4.237696952503425957e-02,7.313693475206053396e-01,2.542371724478076356e-01,3.511869226842129765e-01,6.854221569495059230e-01,7.095074241657328695e-01,6.080480921468682798e-01,3.495417661275749821e-01,1.703716545455047360e-01,4.714424379071594506e-01
1.199999999999999956e-01,1.488867521401565641e-01,8.413336887212716775e-01,6.734758640817554154e-01,8.817060008896361600e-02,4.838159057398153107e-01,7.169225654960200700e-01,5.376345040712963153e-01,2.136319973429434138e-01,7.031239462931623274e-01,8.674299434765404826e-02
1.300000000000000044e-01,1.773794225264706814e-01,7.988305038344900577e-01,8.686774404553055939e-01,4.682731531497641986e-01,7.324385162120268244e-01,7.045554005324362601e-01,7.997936770874548573e-01,9.235490678138651155e-02,8.626170331492296617e-01,4.509455922793285942e-02
1.400000000000000133e-01,9.381673344918491086e-02,8.121928357269604382e-01,2.797448366494273975e-01,5.769507404967163522e-01,2.755060781304599082e-01,8.476731242347559370e-01,7.853494718186001533e-01,4.464572210283518361e-01,5.892098666068947832e-01,4.286984132825096272e-01
1.499999999999999944e-01,7.368021132677543550e-02,8.017779485451613786e-01,1.346854026846820707e-01,8.189236885800983412e-01,8.423954535448135994e-01,5.833261699830315505e-01,8.726191703644552433e-01,1.245443437708684681e-01,7.456433304113864180e-01,6.074701177417128894e-01
1.600000000000000033e-01,7.887397254898163845e-02,7.435295082046823323e-01,7.665116132915635871e-01,3.301484958428771987e-01,1.073402331137929405e-01,2.581747989363913365e-01,7.179713432445615773e-01,9.732364996277650948e-02,7.997885836411325888e-01,9.017241376762278326e-01
1.700000000000000122e-01,5.921477116591629397e-02,7.214061579645899558e-01,2.573251709122662545e-01,2.676400484385794143e-01,9.011648633233972916e-01,7.717551178662092060e-01,7.960778142707798377e-01,2.236893555108788734e-01,7.091433636845652089e-01,4.505517223073681188e-01
1.799999999999999933e-01,1.839181358615886996e-01,8.165952536529883510e-01,3.873698807491610663e-01,1.939995046607105311e-01,1.719463342273664860e-02,4.053109370709591652e-01,5.330822232028655794e-01,4.990952697320417686e-01,7.661679113806889596e-01,1.578381900866172027e-01
1.900000000000000022e-01,2.751084594691090984e-02,8.799370171823948095e-01,1.134603981909709375e-01,7.926980611133868093e-01,9.061190050448001410e-01,8.345271023003579813e-01,6.991234587278378765e-01,2.514395723897187573e-01,8.817936312098756391e-01,2.604549414954535416e-03
