t,avg_L
0.000000000000000000e+00,9.999999999999343858e-01
1.000000000000000021e-02,1.541988304824387090e-01
2.000000000000000042e-02,3.318364069096168545e-01
2.999999999999999889e-02,1.878862222039487384e-01
4.000000000000000083e-02,2.264377843966306481e-01
5.000000000000000278e-02,1.873799576819835666e-01
5.999999999999999778e-02,2.378269438492668919e-01
7.000000000000000666e-02,2.193334762930955750e-01
8.000000000000000167e-02,3.796715750097060527e-01
8.999999999999999667e-02,3.437808540863780404e-01
1.000000000000000056e-01,1.491417003337151270e-01
1.100000000000000006e-01,3.453966932503662601e-01
1.199999999999999956e-01,4.077854239992609875e-01
1.300000000000000044e-01,1.361163369502882969e-01
1.400000000000000133e-01,1.348174195121249752e-01
1.499999999999999944e-01,1.621466528324599365e-01
1.600000000000000033e-01,1.342268804248445968e-01
1.700000000000000122e-01,1.931718563199890659e-01
1.799999999999999933e-01,1.089692112827677084e-01
1.900000000000000022e-01,3.419894095437822079e-01
2.000000000000000111e-01,1.215219880788428741e-01
2.099999999999999922e-01,4.490025232139951417e-01
2.200000000000000011e-01,2.990669600745357037e-01
2.300000000000000100e-01,2.051133091191965074e-01
2.399999999999999911e-01,1.581731821984670994e-01
2.500000000000000000e-01,1.227451868883608771e-01
2.600000000000000089e-01,1.652469156386700555e-01
2.700000000000000178e-01,1.161396005188843894e-01
2.800000000000000266e-01,2.197477045413073204e-01
2.899999999999999800e-01,2.364170621187568488e-01
2.999999999999999889e-01,1.571687520396363169e-01
3.099999999999999978e-01,2.364056200672717267e-01
3.200000000000000067e-01,3.072977121144143675e-01
3.300000000000000155e-01,2.199743054321080526e-01
3.400000000000000244e-01,2.741127852780602669e-01
3.500000000000000333e-01,1.718974330044167331e-01
3.599999999999999867e-01,1.702486797170840171e-01
3.699999999999999956e-01,1.365767167111423541e-01
3.800000000000000044e-01,1.305162265744763961e-01
3.900000000000000133e-01,1.588057222368817745e-01
4.000000000000000222e-01,1.211386613046019356e-01
4.100000000000000311e-01,2.050324214030181391e-01
4.199999999999999845e-01,3.547180012141107897e-01
4.299999999999999933e-01,1.246181759021158103e-01
4.400000000000000022e-01,1.918687269490409464e-01
4.500000000000000111e-01,1.118553925237254221e-01
4.600000000000000200e-01,2.022859109045786474e-01
4.700000000000000289e-01,1.293867816927347925e-01
4.799999999999999822e-01,9.236146814183034126e-02
4.899999999999999911e-01,2.181990748436690719e-01
5.000000000000000000e-01,1.183365673160947651e-01
5.100000000000000089e-01,2.491374438388792023e-01
5.200000000000000178e-01,2.206795239068361503e-01
5.300000000000000266e-01,1.081919980232070311e-01
5.400000000000000355e-01,1.363262558339539687e-01
5.500000000000000444e-01,1.023746113172338545e-01
5.600000000000000533e-01,1.414690655119816842e-01
5.700000000000000622e-01,1.307823658815035484e-01
5.799999999999999600e-01,5.198400662554310270e-02
5.899999999999999689e-01,1.705894884450996907e-01
5.999999999999999778e-01,6.237009478910345017e-02
6.099999999999999867e-01,1.219171669230763311e-01
6.199999999999999956e-01,3.655985413425061337e-01
6.300000000000000044e-01,6.175431659943844687e-02
6.400000000000000133e-01,1.281665754926810952e-01
6.500000000000000222e-01,1.380701362299016355e-01
6.600000000000000311e-01,8.651136269400605538e-02
6.700000000000000400e-01,1.128231010318739846e-01
6.800000000000000488e-01,5.646824453643558422e-02
6.900000000000000577e-01,1.445811414786220550e-01
7.000000000000000666e-01,6.124910437897318483e-02
7.099999999999999645e-01,1.390098410553159969e-01
7.199999999999999734e-01,1.349282516441408508e-01
7.299999999999999822e-01,7.135514187656902263e-02
7.399999999999999911e-01,1.669631043118928182e-01
7.500000000000000000e-01,1.653435333341288782e-01
7.600000000000000089e-01,7.764494526044868339e-02
7.700000000000000178e-01,1.514213729488114168e-01
7.800000000000000266e-01,6.700136601103630352e-02
7.900000000000000355e-01,1.294964865118466424e-01
8.000000000000000444e-01,8.456740426191070026e-02
8.100000000000000533e-01,6.852823863193759080e-02
8.200000000000000622e-01,1.705987804525173623e-01
8.300000000000000711e-01,1.116736146672569069e-01
8.399999999999999689e-01,9.170164204291855747e-02
8.499999999999999778e-01,1.601624853398145309e-01
8.599999999999999867e-01,5.947742377097818556e-02
8.699999999999999956e-01,8.582891189516657360e-02
8.800000000000000044e-01,4.870262272218858768e-02
8.900000000000000133e-01,2.062103680283856599e-01
9.000000000000000222e-01,5.135339134117319904e-02
9.100000000000000311e-01,8.687730377534391701e-02
9.200000000000000400e-01,1.273774158186090355e-01
9.300000000000000488e-01,3.534125936808839297e-02
9.400000000000000577e-01,8.951544513752757171e-02
9.500000000000000666e-01,1.136087737883989812e-01
9.599999999999999645e-01,5.976769459879308077e-02
9.699999999999999734e-01,8.124456442484856433e-02
9.799999999999999822e-01,2.684557668030698729e-02
9.899999999999999911e-01,6.267137763433833220e-02
1.000000000000000000e+00,7.360201001263308451e-02
1.010000000000000009e+00,4.929557785040188100e-02
1.020000000000000018e+00,1.909306795329968054e-01
1.030000000000000027e+00,4.147569003702565593e-02
1.040000000000000036e+00,5.032641644836220729e-02
1.050000000000000044e+00,1.455393589789356068e-01
1.060000000000000053e+00,4.985988751752024051e-02
1.070000000000000062e+00,7.934414553512159074e-02
1.080000000000000071e+00,5.468065463988973363e-02
1.090000000000000080e+00,3.812694381847316072e-02
1.100000000000000089e+00,2.231613022678454600e-02
1.110000000000000098e+00,3.136974088702047803e-02
1.120000000000000107e+00,1.298138823508918627e-01
1.130000000000000115e+00,3.536805893534886863e-02
1.140000000000000124e+00,6.651631475845079522e-02
1.150000000000000133e+00,5.776000463547948521e-02
1.159999999999999920e+00,3.145772264268519025e-02
1.169999999999999929e+00,3.672699779951488219e-02
1.179999999999999938e+00,4.671438319210605844e-02
1.189999999999999947e+00,1.291756274514588645e-02
1.199999999999999956e+00,3.427218909265300484e-02
1.209999999999999964e+00,3.211441617342016691e-02
1.219999999999999973e+00,4.017400307181294428e-02
1.229999999999999982e+00,2.787827124120804967e-02
1.239999999999999991e+00,3.699420896189777042e-02
1.250000000000000000e+00,8.381718201374382948e-02
1.260000000000000009e+00,2.105675381753993256e-02
1.270000000000000018e+00,2.284480124774247028e-02
1.280000000000000027e+00,3.894201736118985124e-02
1.290000000000000036e+00,3.683331090565290789e-02
1.300000000000000044e+00,1.290948764007061704e-02
1.310000000000000053e+00,2.163381409769091213e-02
1.320000000000000062e+00,8.145922618124648573e-02
1.330000000000000071e+00,1.076512218286638720e-02
1.340000000000000080e+00,2.647989273301224605e-02
1.350000000000000089e+00,8.327106260124580994e-02
1.360000000000000098e+00,1.671960365829759654e-02
1.370000000000000107e+00,2.446763840277860549e-02
1.380000000000000115e+00,1.801444289164687990e-02
1.390000000000000124e+00,2.030355777773833192e-02
1.400000000000000133e+00,1.722429067896666735e-02
1.409999999999999920e+00,7.819480297468654056e-03
1.419999999999999929e+00,2.912362689379727893e-02
1.429999999999999938e+00,1.369967467455393551e-02
1.439999999999999947e+00,1.827670856674302666e-02
1.449999999999999956e+00,3.285471762516382899e-02
1.459999999999999964e+00,8.640689858584266192e-03
1.469999999999999973e+00,8.290061485453822585e-03
1.479999999999999982e+00,1.179693063047182640e-02
1.489999999999999991e+00,9.622487587536650289e-03
1.500000000000000000e+00,1.486721660295086886e-02
1.510000000000000009e+00,5.519225095613271639e-03
1.520000000000000018e+00,2.064834741854641720e-02
1.530000000000000027e+00,7.497170824469004402e-03
1.540000000000000036e+00,5.376200300748788970e-03
1.550000000000000044e+00,3.006692185318779464e-02
1.560000000000000053e+00,6.935914535041288673e-03
1.570000000000000062e+00,5.717425663824850929e-03
1.580000000000000071e+00,9.491764354052243877e-03
1.590000000000000080e+00,7.653853590412066851e-03
1.600000000000000089e+00,5.197276435104957078e-03
1.610000000000000098e+00,4.568856426049012522e-03
1.620000000000000107e+00,1.186317216066806561e-02
