t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
0.000000000000000000e+00,1.000000000000112799e+00,1.000000000000149214e+00,1.000000000000170752e+00,1.000000000000142331e+00,1.000000000000212275e+00,1.000000000000150990e+00,1.000000000000114575e+00,1.000000000000147882e+00,1.000000000000162759e+00,1.000000000000106803e+00
1.000000000000000021e-02,9.931908662862314330e-01,9.933111680814367128e-01,9.981947895638871859e-01,9.611172250855740673e-01,9.907306817176392277e-01,9.935623235350873328e-01,9.995716847128285343e-01,9.996402260197190248e-01,9.904237248312414144e-01,9.985157091884001579e-01
2.000000000000000042e-02,9.940334177390764969e-01,9.896978643385734298e-01,9.823823331336687392e-01,8.973079755583615036e-01,9.847174675204076744e-01,9.805738866323503444e-01,9.958389214843260673e-01,9.975527866463750337e-01,9.746368967565340879e-01,9.911576890252619121e-01
2.999999999999999889e-02,9.792738991431599871e-01,9.896040779835921786e-01,9.620599622320504807e-01,8.729800896929447163e-01,9.850738468503082990e-01,9.675995474362766302e-01,9.909942444171568887e-01,9.955710014398110319e-01,9.561202243300416237e-01,9.857132267682287008e-01
4.000000000000000083e-02,9.909167843997703784e-01,9.915552904030189296e-01,9.680641243268819363e-01,9.571559967239433586e-01,9.903498828528403131e-01,9.916307847339016490e-01,9.921516052450767287e-01,9.971300894641171864e-01,9.638640917179960299e-01,9.856268336816585984e-01
5.000000000000000278e-02,9.896800842924329267e-01,9.955099927321642284e-01,9.916454533495050461e-01,9.966880902118365748e-01,9.884488827342398087e-01,9.967279020025278102e-01,9.978095205626641429e-01,9.989837800289909087e-01,9.877003309923430008e-01,9.929986680218484407e-01
5.999999999999999778e-02,9.796443347511937239e-01,9.953843133809503474e-01,9.985732237507424225e-01,9.450807807476980793e-01,9.727636186662025342e-01,9.985727127333670072e-01,9.997248843536586937e-01,9.993149415541721092e-01,9.900747548673900500e-01,9.720742629997203288e-01
7.000000000000000666e-02,9.793590458394169085e-01,9.921605021702268878e-01,9.900329325330373686e-01,9.449729250322287388e-01,9.772228758460044240e-01,9.871596397100984577e-01,9.959008459632566757e-01,9.984073909199976393e-01,9.873558083162389254e-01,9.430816546361202590e-01
8.000000000000000167e-02,9.902064717454219789e-01,9.820498903432139937e-01,9.891277010191520391e-01,8.832446404138808438e-01,9.922487826871884131e-01,9.741770244525171929e-01,9.933332952830780105e-01,9.965032558505827476e-01,9.895830155415279439e-01,9.536467128924178693e-01
8.999999999999999667e-02,9.655221329198069302e-01,9.926689984369894137e-01,9.911551389351772601e-01,9.162947898092899113e-01,9.544978880450309955e-01,9.880472943322199386e-01,9.956309160707408346e-01,9.950999903069329688e-01,9.846614309328188819e-01,9.803956643998020803e-01
1.000000000000000056e-01,9.619563073841421730e-01,9.883087115667192890e-01,9.885399420215815747e-01,9.795848731395218056e-01,9.583679306434592649e-01,9.871624237224546627e-01,9.982970658580240242e-01,9.959929028418820218e-01,9.844957960290288135e-01,9.743731622158725569e-01
1.100000000000000006e-01,9.736066360142084930e-01,9.866214873372545213e-01,9.909822985136500506e-01,9.313752426482232449e-01,9.703543168299136878e-01,9.920418000623132393e-01,9.988569439350167833e-01,9.972016451518221913e-01,9.933159990020534735e-01,8.987198329749552794e-01
1.199999999999999956e-01,9.866772096589192520e-01,9.875236402855698259e-01,9.889362704281670080e-01,9.722349559210060610e-01,9.823943303387512316e-01,9.908818687287901383e-01,9.984265274496997300e-01,9.969843490921065365e-01,9.868424777518329805e-01,8.399348930363284005e-01
1.300000000000000044e-01,9.816003330268832094e-01,9.823061124285784596e-01,9.650901882255891184e-01,9.140708326042361609e-01,9.741880270055903734e-01,9.826613734904066089e-01,9.951777292025790755e-01,9.957933314062313856e-01,9.615427344777746077e-01,9.112235438665379217e-01
1.400000000000000133e-01,9.491625751639612973e-01,9.799986540889318309e-01,9.418843669610584834e-01,8.816078022624161958e-01,9.454413195124409253e-01,9.669589293838417587e-01,9.889496967044556497e-01,9.939302265897235200e-01,9.420642395464048358e-01,9.747111159998571583e-01
1.499999999999999944e-01,9.780924354670503806e-01,9.766586993685558715e-01,9.515040567060577548e-01,9.557166877233097546e-01,9.707302108717738021e-01,9.730452708157216746e-01,9.860688913053663462e-01,9.924362030637283727e-01,9.593009085292599769e-01,8.986384558593620842e-01
1.600000000000000033e-01,9.865625962925501646e-01,9.776922773788440102e-01,9.748110746924424364e-01,9.209023164532236239e-01,9.848924188792910206e-01,9.669122045725958570e-01,9.902213298339089809e-01,9.929523444064586313e-01,9.835985549798442751e-01,7.666034078983875455e-01
1.700000000000000122e-01,9.774327409229379704e-01,9.728951628766835391e-01,9.802571108981616987e-01,9.608771743098376561e-01,9.549127250083769836e-01,9.731184929397930228e-01,9.945094622813692720e-01,9.935931352518546644e-01,9.729083171787797912e-01,7.306257173121314397e-01
1.799999999999999933e-01,9.803175904756628034e-01,9.720749757330100493e-01,9.747532136291623406e-01,9.482204656933713727e-01,9.708837854864177386e-01,9.674683455643292573e-01,9.926599303809626740e-01,9.920253881669582885e-01,9.827495534770442909e-01,8.872637026648082514e-01
1.900000000000000022e-01,9.825846970619398490e-01,9.640848433735650369e-01,9.653570653064834639e-01,8.752961080630266011e-01,9.775660302577947602e-01,9.591663984661797926e-01,9.887487448030353177e-01,9.888663603689059611e-01,9.785931354244546965e-01,9.711789991480455075e-01
2.000000000000000111e-01,9.859349966397282783e-01,9.514023393223519642e-01,9.485395555345847995e-01,9.071462296383241419e-01,9.690115422946826707e-01,9.464663530172678918e-01,9.875223492204269204e-01,9.844580981633249683e-01,9.515416455114473759e-01,7.591005545473231697e-01
2.099999999999999922e-01,9.817862959739701578e-01,9.467851044527703097e-01,9.419575303255823817e-01,9.112506555943505893e-01,9.698180103234456118e-01,9.368463644385840450e-01,9.877743151262974308e-01,9.800622618512283557e-01,9.492844933187231105e-01,5.870784689258383704e-01
2.200000000000000011e-01,9.879836126355704407e-01,9.466796180477111688e-01,9.565026880482971894e-01,9.437529689721496640e-01,9.768787107094101252e-01,9.393848439192822308e-01,9.870616414317180398e-01,9.771081632864656585e-01,9.602900224765075210e-01,6.532261921369355573e-01
2.300000000000000100e-01,9.863873608172550878e-01,9.391407057752270138e-01,9.636864862761909123e-01,9.391891352700646456e-01,9.745377555548176973e-01,9.380391874479911962e-01,9.856114636637318682e-01,9.747395410624694057e-01,9.833024866911098671e-01,8.615595788576793090e-01
2.399999999999999911e-01,9.871731852455501999e-01,9.306561219512784477e-01,9.474352745418935795e-01,8.684688083781600954e-01,9.683925775634044664e-01,9.261873816439673002e-01,9.821776102280739273e-01,9.708700031116626050e-01,9.609590690225453535e-01,9.117876210927556846e-01
2.500000000000000000e-01,9.744783290846640300e-01,9.201165764776072509e-01,9.350668837937358147e-01,8.630208222371335003e-01,9.564587504253491135e-01,8.991620696908330101e-01,9.740472840659127884e-01,9.665791994636163675e-01,9.443268770900111742e-01,5.658390628790107568e-01
2.600000000000000089e-01,9.829794793862699498e-01,9.022103382015104200e-01,9.413977598576911410e-01,9.054736761668980005e-01,9.656187099555493258e-01,8.884760316254574075e-01,9.661778199079057439e-01,9.630248427423477864e-01,9.626683837493352769e-01,4.141874105926323657e-01
2.700000000000000178e-01,9.652937006634886297e-01,8.978492859368470969e-01,9.469943543857564094e-01,9.116540050408838969e-01,9.545099217762008648e-01,8.774522714879322560e-01,9.662012925692267107e-01,9.604959605827820823e-01,9.680043268858813388e-01,6.504774329537436062e-01
2.800000000000000266e-01,9.813271471128314216e-01,8.891541994231410007e-01,9.437843774247670625e-01,8.664967234000119367e-01,9.585587763085819946e-01,8.779545838163862470e-01,9.703382546621753812e-01,9.589943418268884745e-01,9.544732249327696483e-01,8.370506911251034410e-01
2.899999999999999800e-01,9.677448233049839033e-01,8.800538133231983196e-01,9.386086292914975759e-01,8.533782351243105468e-01,9.491515508685105518e-01,8.733411135258911662e-01,9.697562759755232742e-01,9.581129612699343934e-01,9.591500078373941252e-01,7.620865950098083541e-01
2.999999999999999889e-01,9.530323932439341839e-01,8.611561725109483367e-01,9.204620402684058345e-01,8.314923841460225562e-01,9.356235428748873595e-01,8.705301897843417125e-01,9.649065791607018827e-01,9.551656192339716966e-01,9.558415441093867093e-01,3.539769875854913983e-01
3.099999999999999978e-01,9.590751642044252900e-01,8.497185400811166911e-01,8.901821478040262692e-01,8.443553764504603265e-01,9.553513196893873571e-01,8.285801266421530809e-01,9.611364439022501704e-01,9.505515672419821982e-01,9.205849975741918767e-01,2.922182176230290196e-01
