t,avg_L
0.000000000000000000e+00,1.000000000000148548e+00
1.000000000000000021e-02,9.934367458082620228e-01
2.000000000000000042e-02,9.872076659294906076e-01
2.999999999999999889e-02,9.821738729967341985e-01
4.000000000000000083e-02,9.906333336263053457e-01
5.000000000000000278e-02,9.942543303770063901e-01
5.999999999999999778e-02,9.927295341241701987e-01
7.000000000000000666e-02,9.872577240131686915e-01
8.000000000000000167e-02,9.893553582803400470e-01
8.999999999999999667e-02,9.863543626325194102e-01
1.000000000000000056e-01,9.858291098757416826e-01
1.100000000000000006e-01,9.888018929254522860e-01
1.199999999999999956e-01,9.871830590187014032e-01
1.300000000000000044e-01,9.778941800162368470e-01
1.400000000000000133e-01,9.580607522739015280e-01
1.499999999999999944e-01,9.718877408437477383e-01
1.600000000000000033e-01,9.806454161793440871e-01
1.700000000000000122e-01,9.730134050592864625e-01
1.799999999999999933e-01,9.734140946810861950e-01
1.900000000000000022e-01,9.743725147029200784e-01
2.000000000000000111e-01,9.514719924168997256e-01
2.099999999999999922e-01,9.480347988857467101e-01
2.200000000000000011e-01,9.583963552624024107e-01
2.300000000000000100e-01,9.691121209155042493e-01
2.399999999999999911e-01,9.541971717822195220e-01
2.500000000000000000e-01,9.396968804418734944e-01
2.600000000000000089e-01,9.520330718035132644e-01
2.700000000000000178e-01,9.507521380809786926e-01
2.800000000000000266e-01,9.491288011787684109e-01
2.899999999999999800e-01,9.438800900800040639e-01
2.999999999999999889e-01,9.280427915716465970e-01
3.099999999999999978e-01,9.053835726891090729e-01
3.200000000000000067e-01,8.962210534425765207e-01
3.300000000000000155e-01,9.085813245461875631e-01
3.400000000000000244e-01,9.210106039997736360e-01
3.500000000000000333e-01,9.203048713147619075e-01
3.599999999999999867e-01,9.171735764539412639e-01
3.699999999999999956e-01,9.053810931289369979e-01
3.800000000000000044e-01,8.847645040399276795e-01
3.900000000000000133e-01,8.715071036446102593e-01
4.000000000000000222e-01,8.706864501099784714e-01
4.100000000000000311e-01,8.701721444507193315e-01
4.199999999999999845e-01,8.628273729115867319e-01
4.299999999999999933e-01,8.536057173269682163e-01
4.400000000000000022e-01,8.419448795801065533e-01
4.500000000000000111e-01,8.273603492877943388e-01
4.600000000000000200e-01,8.191151724049435812e-01
4.700000000000000289e-01,8.145658452537760663e-01
4.799999999999999822e-01,8.001474624107018929e-01
4.899999999999999911e-01,7.705332934815327661e-01
5.000000000000000000e-01,7.635693586536247413e-01
5.100000000000000089e-01,7.630045583662296016e-01
5.200000000000000178e-01,7.554884860966064597e-01
5.300000000000000266e-01,7.426866424941183098e-01
5.400000000000000355e-01,7.276778373055146076e-01
5.500000000000000444e-01,7.135359840819726074e-01
5.600000000000000533e-01,7.097950218775308517e-01
5.700000000000000622e-01,7.174957537452666401e-01
5.799999999999999600e-01,7.181218631138631681e-01
5.899999999999999689e-01,6.987846377385393826e-01
5.999999999999999778e-01,6.850711625177976494e-01
6.099999999999999867e-01,6.832363975420618907e-01
6.199999999999999956e-01,6.871737765538310505e-01
6.300000000000000044e-01,6.986066043139831372e-01
6.400000000000000133e-01,6.934338390352099424e-01
6.500000000000000222e-01,6.659457356883595747e-01
6.600000000000000311e-01,6.548593985448885046e-01
6.700000000000000400e-01,6.351783560243373650e-01
6.800000000000000488e-01,6.257209099266078933e-01
6.900000000000000577e-01,6.192336032852324701e-01
7.000000000000000666e-01,5.976512050737653459e-01
7.099999999999999645e-01,5.831005506731627985e-01
7.199999999999999734e-01,5.715850562197348772e-01
7.299999999999999822e-01,5.598644289333578605e-01
7.399999999999999911e-01,5.531631629476141399e-01
7.500000000000000000e-01,5.418460049633053721e-01
7.600000000000000089e-01,5.284785228500311627e-01
7.700000000000000178e-01,5.122596748813480483e-01
7.800000000000000266e-01,5.200393019302989028e-01
7.900000000000000355e-01,5.289632299095664569e-01
8.000000000000000444e-01,5.188279619016299415e-01
8.100000000000000533e-01,4.837316033890962652e-01
8.200000000000000622e-01,4.604045226159333426e-01
8.300000000000000711e-01,4.517840079137053766e-01
8.399999999999999689e-01,4.571011330258697436e-01
8.499999999999999778e-01,4.654921202687067883e-01
8.599999999999999867e-01,4.585306613942231047e-01
8.699999999999999956e-01,4.224752062433708155e-01
8.800000000000000044e-01,4.053504857831941033e-01
8.900000000000000133e-01,3.911217433287378364e-01
