t,avg_L
0.000000000000000000e+00,9.999999999999120703e-01
1.000000000000000021e-02,9.170894213413315343e-01
2.000000000000000042e-02,7.991369397403124131e-01
2.999999999999999889e-02,7.444007603539144480e-01
4.000000000000000083e-02,7.454528653798682125e-01
5.000000000000000278e-02,7.474115728073327247e-01
5.999999999999999778e-02,7.745504126979266823e-01
7.000000000000000666e-02,7.590342599056911777e-01
8.000000000000000167e-02,8.287448525994401960e-01
8.999999999999999667e-02,1.033201001936079111e+00
1.000000000000000056e-01,7.132772115703406302e-01
1.100000000000000006e-01,8.533388231532752499e-01
1.199999999999999956e-01,8.411671232468695969e-01
1.300000000000000044e-01,7.478750392465516317e-01
1.400000000000000133e-01,8.786249379934611969e-01
1.499999999999999944e-01,6.889313642866323750e-01
1.600000000000000033e-01,9.083218321636681303e-01
1.700000000000000122e-01,8.095908462368757164e-01
1.799999999999999933e-01,8.582117582647852405e-01
1.900000000000000022e-01,1.019319060321978165e+00
2.000000000000000111e-01,5.788347479498272552e-01
2.099999999999999922e-01,8.145572202760308356e-01
2.200000000000000011e-01,8.079076149532896656e-01
2.300000000000000100e-01,7.032067811093453136e-01
2.399999999999999911e-01,7.357202535211423422e-01
2.500000000000000000e-01,6.829585156698743109e-01
2.600000000000000089e-01,7.795123310710239117e-01
2.700000000000000178e-01,6.833910959154414488e-01
2.800000000000000266e-01,6.880338224463586894e-01
2.899999999999999800e-01,7.520385074233126854e-01
2.999999999999999889e-01,7.621600578730785003e-01
3.099999999999999978e-01,7.333420763276303767e-01
3.200000000000000067e-01,8.144698302820598812e-01
3.300000000000000155e-01,6.230398697669183861e-01
3.400000000000000244e-01,7.986126763539334039e-01
3.500000000000000333e-01,6.904774901599053383e-01
3.599999999999999867e-01,6.732991543808355406e-01
3.699999999999999956e-01,6.561175500313212172e-01
3.800000000000000044e-01,7.001051071308770357e-01
3.900000000000000133e-01,6.722803927069501695e-01
4.000000000000000222e-01,6.022617986358290709e-01
4.100000000000000311e-01,6.778714045417861822e-01
4.199999999999999845e-01,8.103904420012136844e-01
4.299999999999999933e-01,6.141913458455959818e-01
4.400000000000000022e-01,6.156100248682311316e-01
4.500000000000000111e-01,6.350767307362178427e-01
4.600000000000000200e-01,6.673869644737108198e-01
4.700000000000000289e-01,6.005755125730294353e-01
4.799999999999999822e-01,5.842587281301814262e-01
4.899999999999999911e-01,6.530401453530045863e-01
5.000000000000000000e-01,4.678332333674695143e-01
5.100000000000000089e-01,6.062808738504832373e-01
5.200000000000000178e-01,6.342037669479294593e-01
5.300000000000000266e-01,4.957538856111807224e-01
5.400000000000000355e-01,5.129319319692945411e-01
5.500000000000000444e-01,4.867923626325784126e-01
5.600000000000000533e-01,5.609986615468703919e-01
5.700000000000000622e-01,4.862517088475666327e-01
5.799999999999999600e-01,5.360440569459832272e-01
5.899999999999999689e-01,4.854203068735922777e-01
5.999999999999999778e-01,5.066222692382666981e-01
6.099999999999999867e-01,5.699786450846697772e-01
6.199999999999999956e-01,5.149408357992195651e-01
6.300000000000000044e-01,4.541424841854483363e-01
6.400000000000000133e-01,5.568830602082854853e-01
6.500000000000000222e-01,5.466407001992408254e-01
6.600000000000000311e-01,4.889904919925850968e-01
6.700000000000000400e-01,5.183059460009816766e-01
6.800000000000000488e-01,3.748051776304143212e-01
6.900000000000000577e-01,4.942801223607378169e-01
7.000000000000000666e-01,4.194885187319535857e-01
7.099999999999999645e-01,4.055350774470575792e-01
7.199999999999999734e-01,5.205863493475662018e-01
7.299999999999999822e-01,3.916859349167418070e-01
7.399999999999999911e-01,4.390446322826956904e-01
7.500000000000000000e-01,4.894663336890098249e-01
7.600000000000000089e-01,4.689486083214157164e-01
7.700000000000000178e-01,3.755189480390914714e-01
7.800000000000000266e-01,2.909564982071758399e-01
7.900000000000000355e-01,4.291955090572162623e-01
8.000000000000000444e-01,3.584994700901706355e-01
8.100000000000000533e-01,3.568365441199631283e-01
8.200000000000000622e-01,3.974201719977251690e-01
8.300000000000000711e-01,3.803791025153988037e-01
8.399999999999999689e-01,3.704548601951378473e-01
8.499999999999999778e-01,3.555625436780647242e-01
8.599999999999999867e-01,3.325947093743358285e-01
8.699999999999999956e-01,3.007512365179740299e-01
8.800000000000000044e-01,3.792120995606831357e-01
8.900000000000000133e-01,3.248451104706288062e-01
9.000000000000000222e-01,2.955711958009058504e-01
9.100000000000000311e-01,3.411191621008708430e-01
9.200000000000000400e-01,3.238480155305931696e-01
9.300000000000000488e-01,2.582074418925480730e-01
9.400000000000000577e-01,2.768935052416128251e-01
9.500000000000000666e-01,3.016173712437696386e-01
9.599999999999999645e-01,2.200020711892947123e-01
9.699999999999999734e-01,2.661468712979407902e-01
9.799999999999999822e-01,2.288066053757047968e-01
9.899999999999999911e-01,2.204761350922642693e-01
1.000000000000000000e+00,2.135720198929829117e-01
1.010000000000000009e+00,1.949337971675936532e-01
1.020000000000000018e+00,1.765651859958589365e-01
1.030000000000000027e+00,1.562018222905381948e-01
1.040000000000000036e+00,2.102688808308079138e-01
1.050000000000000044e+00,2.009508851873589852e-01
1.060000000000000053e+00,1.747437346977282480e-01
1.070000000000000062e+00,1.858437275317840753e-01
1.080000000000000071e+00,1.341865990509439333e-01
1.090000000000000080e+00,1.758259300302969785e-01
1.100000000000000089e+00,1.587987168179410546e-01
1.110000000000000098e+00,1.498941258597071557e-01
1.120000000000000107e+00,1.580618407641446177e-01
1.130000000000000115e+00,1.339654926758899744e-01
1.140000000000000124e+00,1.563591882698574520e-01
1.150000000000000133e+00,1.334088215944585487e-01
1.159999999999999920e+00,1.154238488427505316e-01
1.169999999999999929e+00,1.236389419111905974e-01
1.179999999999999938e+00,1.234504702115189478e-01
1.189999999999999947e+00,1.078295010282739330e-01
1.199999999999999956e+00,9.414406105972940308e-02
1.209999999999999964e+00,8.903281129896338519e-02
1.219999999999999973e+00,1.174268206557966820e-01
1.229999999999999982e+00,1.049367779468686201e-01
1.239999999999999991e+00,9.133491795071978225e-02
1.250000000000000000e+00,9.674852602336098117e-02
1.260000000000000009e+00,8.783712369929999597e-02
1.270000000000000018e+00,9.734755279009102424e-02
1.280000000000000027e+00,8.887271915927713595e-02
1.290000000000000036e+00,8.697415277648856691e-02
1.300000000000000044e+00,8.692015654372169109e-02
1.310000000000000053e+00,6.643840877113253718e-02
1.320000000000000062e+00,8.786676070955294626e-02
1.330000000000000071e+00,7.484019949502020153e-02
1.340000000000000080e+00,7.282139505514147182e-02
1.350000000000000089e+00,6.787473982629374514e-02
1.360000000000000098e+00,7.404700120831170240e-02
1.370000000000000107e+00,7.152333672025601441e-02
1.380000000000000115e+00,6.737328084774234227e-02
1.390000000000000124e+00,6.356061814592794956e-02
1.400000000000000133e+00,6.963036843098924233e-02
1.409999999999999920e+00,5.826109204864846763e-02
1.419999999999999929e+00,7.088990925862134751e-02
1.429999999999999938e+00,4.877775471610294733e-02
1.439999999999999947e+00,7.517038798074179851e-02
1.449999999999999956e+00,5.655068106044622289e-02
1.459999999999999964e+00,5.110248942447621900e-02
1.469999999999999973e+00,5.378428455774755812e-02
1.479999999999999982e+00,6.248694233900020656e-02
1.489999999999999991e+00,5.730945246993839060e-02
1.500000000000000000e+00,4.953647456768776880e-02
1.510000000000000009e+00,4.866896380556800378e-02
1.520000000000000018e+00,4.342322864712160752e-02
1.530000000000000027e+00,3.847066731011471868e-02
1.540000000000000036e+00,4.426657588001498000e-02
1.550000000000000044e+00,5.220495392030444215e-02
1.560000000000000053e+00,3.586774131062079457e-02
1.570000000000000062e+00,4.086441126206124402e-02
1.580000000000000071e+00,4.155130003114351073e-02
1.590000000000000080e+00,3.569174751840284432e-02
1.600000000000000089e+00,3.019492466649461443e-02
1.610000000000000098e+00,2.066050633599899461e-02
1.620000000000000107e+00,3.302495233664921176e-02
1.630000000000000115e+00,2.596867126208106044e-02
1.640000000000000124e+00,2.029093079287517393e-02
1.650000000000000133e+00,2.861596483368507304e-02
1.660000000000000142e+00,1.657578512894431269e-02
1.669999999999999929e+00,1.594615703707661855e-02
1.679999999999999938e+00,1.625157477258708585e-02
1.689999999999999947e+00,1.329069710121029424e-02
1.699999999999999956e+00,1.457040805821229953e-02
1.709999999999999964e+00,1.193185677690730348e-02
1.719999999999999973e+00,1.208257070200829605e-02
1.729999999999999982e+00,1.036654020239691394e-02
1.739999999999999991e+00,9.989079658247104060e-03
1.750000000000000000e+00,1.531915027836398824e-02
1.760000000000000009e+00,1.007635748909349940e-02
1.770000000000000018e+00,7.376652472567041957e-03
1.780000000000000027e+00,9.598624297109985964e-03
1.790000000000000036e+00,9.841520238230760942e-03
