t,avg_L
0.000000000000000000e+00,9.999999999980084819e-01
1.000000000000000021e-02,5.318722574639802581e-01
2.000000000000000042e-02,3.160845312895495529e-01
2.999999999999999889e-02,2.144914246775229405e-01
4.000000000000000083e-02,2.000981546838943581e-01
5.000000000000000278e-02,9.494252272081288302e-02
5.999999999999999778e-02,1.332888107779313658e-01
7.000000000000000666e-02,1.570244349194102329e-01
8.000000000000000167e-02,2.471125552131230307e-01
8.999999999999999667e-02,3.861950559214229473e-01
1.000000000000000056e-01,2.536637463682848703e-01
1.100000000000000006e-01,7.831199245731455816e-02
1.199999999999999956e-01,3.319263087883943530e-01
1.300000000000000044e-01,6.523194362349958586e-02
1.400000000000000133e-01,1.145692347950773154e-01
1.499999999999999944e-01,2.809881451862177304e-01
1.600000000000000033e-01,5.349059341770357606e-02
1.700000000000000122e-01,1.048715418288836965e-01
1.799999999999999933e-01,2.465469695476745493e-01
1.900000000000000022e-01,3.264094616101556046e-01
2.000000000000000111e-01,3.562783841943979457e-01
2.099999999999999922e-01,6.465139907789634044e-02
2.200000000000000011e-01,2.120679093383479596e-01
2.300000000000000100e-01,1.004315608019252792e-01
2.399999999999999911e-01,4.237793720113537388e-01
2.500000000000000000e-01,1.820289368308008748e-01
2.600000000000000089e-01,2.178971549871862590e-01
2.700000000000000178e-01,5.514047292337327377e-01
2.800000000000000266e-01,2.753200533799744498e-01
2.899999999999999800e-01,1.793167618930823215e-01
2.999999999999999889e-01,2.037452546052357094e-01
3.099999999999999978e-01,3.387422912273732600e-01
3.200000000000000067e-01,3.112688822295686664e-01
3.300000000000000155e-01,1.845462600864088698e-01
3.400000000000000244e-01,4.326374219818522882e-01
3.500000000000000333e-01,2.937033486706704943e-01
3.599999999999999867e-01,2.097975920397310290e-01
3.699999999999999956e-01,8.511839136944210349e-02
3.800000000000000044e-01,1.088503634265690356e-01
3.900000000000000133e-01,2.053293510666183153e-01
4.000000000000000222e-01,2.045142568050313803e-01
4.100000000000000311e-01,3.468673853434089405e-01
4.199999999999999845e-01,1.359564209196348072e-01
4.299999999999999933e-01,1.018415462931573229e-01
4.400000000000000022e-01,2.398157569981801407e-01
4.500000000000000111e-01,9.721056410608540366e-02
4.600000000000000200e-01,1.485145126633515347e-02
4.700000000000000289e-01,4.999295657752936967e-02
4.799999999999999822e-01,2.862408421000942615e-01
4.899999999999999911e-01,1.650375860431396724e-01
5.000000000000000000e-01,1.571388570279756147e-01
5.100000000000000089e-01,2.002149386826297950e-01
5.200000000000000178e-01,3.155653338770147975e-01
5.300000000000000266e-01,3.935639838182770633e-01
