t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
0.000000000000000000e+00,9.999999999998075983e-01,1.000000000000356160e+00,1.000000000000677458e+00,1.000000000000016653e+00,1.000000000000439204e+00,1.000000000000103251e+00,9.999999999998201439e-01,1.000000000000085265e+00,9.999999999996147526e-01,9.999999999997152278e-01
1.000000000000000021e-02,6.283594943864079241e-01,1.015765055245688442e-01,-1.128894018054558968e-02,5.934852232642603420e-01,1.886652469040554086e-02,7.240489545189691123e-01,-2.180090078309678545e-04,1.157052337488488972e-03,6.176146131197048431e-03,7.433115203184234641e-05
2.000000000000000042e-02,6.348762420920773808e-01,2.624550664357541696e-01,3.663245960730632939e-03,3.275971256386930874e-01,3.752626169228754360e-01,6.367924155077174797e-01,1.210013876965988560e-03,-3.200571475541346572e-04,-1.706406867889981749e+00,-3.033474965655692432e-04
2.999999999999999889e-02,4.915613129806382098e-01,7.463994840953147580e-02,-5.459644523062271056e-03,3.215679717525113390e-01,9.956762774090067991e-02,6.823344452794781745e-01,1.158609767696076935e-04,-4.048950322578743826e-04,1.899044805505505779e-02,-1.799745116467195752e-04
4.000000000000000083e-02,5.406857719442348387e-01,2.127207094171056634e-01,7.698080162755896461e-02,4.241760415069372736e-01,1.312915105689860251e-01,4.536157647227480605e-01,7.783508345815242507e-03,5.062946009667747965e-03,4.673381746559460842e-02,-4.345047971500786929e-04
5.000000000000000278e-02,3.687433790834903635e-01,3.827433214200785805e-02,5.752570781678169494e-03,7.311867999805602425e-01,3.812933144324891915e-02,5.523535873165066334e-01,-3.216629075753096521e-06,-1.008611619084883154e-03,1.868544232276808442e-03,-8.938513734187325175e-05
5.999999999999999778e-02,6.891621226019752910e-01,2.344444339260615795e+00,3.749393894139794736e-01,3.284748587694857336e-01,6.737605068417734655e-02,7.446269514783689925e-01,4.446993260878359493e-03,-8.516224051372044829e-03,1.046866485326731766e+00,1.472050687577185647e-04
7.000000000000000666e-02,5.122584111429738796e-01,3.926443719535897825e-02,5.184589931903060660e-03,3.388321898332994908e-01,1.777749264848228483e-01,2.515242698698270107e-01,-3.252963724759951806e-04,1.026555293673304947e-02,2.918652262147344856e-02,-5.840014445755318216e-03
8.000000000000000167e-02,4.687900721115444980e-01,2.246030265302453172e-03,-4.882751659602318139e-04,4.896120318309344910e-01,2.311874954115826775e-01,3.060289621577590435e-01,7.146617545448856728e-04,2.021960064834428528e-02,1.828292289709031737e-01,-1.434469738242203045e-06
8.999999999999999667e-02,7.270734737046322671e-01,2.431219456143725310e-01,-1.927868207320872496e-01,6.325701964024671442e-01,4.889470534758350584e-01,7.091413891325262231e-01,-1.070844492790524599e-01,-1.109494689748588472e-03,5.182526213823661632e-01,-2.246789845867054256e-03
1.000000000000000056e-01,7.156820419722195181e-01,2.232401942393397870e-03,2.893743337437261129e-03,9.325837022857267344e-01,3.057367339177122778e-01,3.720112123489039413e-01,1.684044102462733765e-04,5.261334069183246261e-03,3.754103824956891294e-02,-5.433984925905774354e-04
1.100000000000000006e-01,5.415566218459673120e-01,-1.776697949906377860e-02,-3.298950855133201809e-03,6.492898185914180997e-01,2.387640466528379857e-01,3.777475289444478385e-02,-1.947661482852510199e-05,-4.130313371000293027e-03,1.179839246892371157e-01,-4.934878249975027404e-04
1.199999999999999956e-01,5.707296743102269199e-01,8.761809285120991664e-02,3.783187343675665105e-03,4.727389664318223939e-01,4.077918393154704724e-01,1.894462158594212298e-01,1.155106321574381374e-02,1.338491761013830541e-04,9.133524355462125733e-04,7.980077787718557400e-03
1.300000000000000044e-01,3.966355161458872125e-01,2.969055791305155040e-02,2.597890354159043506e-03,5.414731047621893500e-01,7.345350111361051426e-02,4.067261637190986989e-01,1.611038357894694750e-03,9.712077031061171651e-05,8.213792387165483877e-01,-6.255679602877649591e-07
1.400000000000000133e-01,4.806812228647783791e-01,3.688992285179104602e-01,1.253824851517131578e-01,2.523193890535289086e-01,2.605574985196135729e-01,1.703459923134511778e+00,3.507011254692963820e-01,7.972070969771744009e-02,1.351156554628294426e-01,-4.083720711529842200e-04
1.499999999999999944e-01,6.699696714129437236e-01,1.968572832314486876e-01,2.589541647867113581e-03,7.502334142448836563e-01,1.764664403206900323e-01,1.812355270068803093e-01,2.057468396678969851e-04,-3.152423054667250770e-04,1.887729262472401942e-02,-4.467097856070983584e-04
1.600000000000000033e-01,4.657978076501561593e-01,1.597006932214083408e-01,-1.418709737266947023e-04,6.478255819650666769e-01,3.774990302858471924e-01,8.920046423633781751e-02,-7.313596480775912470e-03,2.305266735843460914e-04,-1.561561111339605963e-02,-5.261182115234189178e-05
1.700000000000000122e-01,5.679672159762140238e-01,1.549403941213997882e-01,-1.175478236635259791e-04,6.032003438689683694e-01,1.571184441124703346e-01,5.171462404149038683e-01,4.871923539153881488e-02,-9.749070710564619385e-04,-1.579205151173827260e-01,-2.207662940191252156e-04
1.799999999999999933e-01,4.889376264454511345e-01,1.844274236443731729e-01,-7.796923279028261091e-04,6.410336369470304163e-01,3.753002901938817804e-01,4.209546084586018311e-01,-1.508861135159625584e-04,9.575941302896833190e-04,-3.852027207171287992e-03,-8.260507525717840458e-05
1.900000000000000022e-01,6.012515137226411843e-01,1.091419587860905371e-01,4.978460011987327670e-04,6.653604856841495163e-01,1.315318775561262199e-01,3.561292108812243451e-01,-2.745732578580846288e-03,5.584061975860309633e-03,9.951428650786690172e-03,-9.814942702161966187e-06
2.000000000000000111e-01,5.916037916274189401e-01,1.426982902019929278e-01,2.898509644918438382e-04,7.585621687184029849e-01,2.203104927196971041e-01,1.129890570475794720e-01,1.132387525633251008e-03,-1.908697765981363231e-02,3.879063263464624226e-04,1.850044268586612927e-03
2.099999999999999922e-01,5.594289152037059676e-01,6.320284245626929531e-02,-1.540688180072691694e-04,5.642251113652074768e-01,4.318565825465106589e-01,4.950887923760071141e-01,-1.569568700910149370e-02,-1.724542861102738725e-04,1.853829060126617745e-01,-3.083019803063882791e-01
2.200000000000000011e-01,6.046025586375773919e-01,8.218946858351782181e-01,4.919956804603854532e-03,3.981540799438821332e-01,8.724770346709144475e-02,7.200544607417872500e-01,1.668694029341921334e-02,3.427763929474722895e-04,3.656300508745820299e-02,-1.916541604133923795e-05
2.300000000000000100e-01,4.203338339551885294e-01,1.023939143446022659e-01,8.876384045189913627e-03,7.910827500076788033e-01,1.978730884280064106e-01,3.707371316274497008e-01,1.699479310946021803e-03,-4.999799906028907365e-03,1.087742109743152982e-02,2.247337719064210296e-05
2.399999999999999911e-01,6.108709701671486414e-01,9.488401771064493284e-02,1.391153424078282741e-02,4.220467248703383967e-01,4.213115778292250702e-02,3.608876157520745642e-01,-5.077111473585615355e-06,-2.904919216342065520e-03,-1.755392117255304418e-01,-1.201651476116526174e-03
2.500000000000000000e-01,5.807103844372394352e-01,8.581052211380660322e-02,-8.099438093909645505e-04,5.243541561879022650e-01,-1.609723043236788512e-02,2.818901132720547098e-01,-2.619603553161932354e-04,2.870245834046644684e-03,3.466764361753175289e-02,1.844689093453830489e-02
2.600000000000000089e-01,5.203937863639528372e-01,1.893449068425210990e+00,1.132926104407545459e-01,3.918138356682041024e-01,5.462862257910505726e-01,9.243370398955574885e-01,7.308615259862254188e-03,4.668994208003186125e-02,-8.301722104390060059e-03,2.633732380042512200e-01
2.700000000000000178e-01,5.199743853512061031e-01,5.858814008692894704e-02,3.965914037569199559e-03,7.441323254209105675e-01,1.668429594001043237e-01,4.751004625605417808e-01,-3.140797562309291437e-03,-1.174547870855900955e-01,3.595679987673394001e-02,-4.193288408140070922e-02
2.800000000000000266e-01,5.485209623467293127e-01,-8.664413694785067302e-03,4.462742213547950948e-02,8.588681271800160388e-01,4.051270070114120214e-01,3.590163420161582297e-01,2.790239672885602186e-04,5.047001832479241536e-03,3.041929693000407497e-01,-9.776320690938703623e-04
2.899999999999999800e-01,3.644483865961053448e-01,3.018672523417550435e-01,-7.653589640404601102e-01,4.503115141325039206e-01,-9.372794134246287268e-02,8.687396108645438764e-01,-1.140272944640597030e+00,-6.614053515872224398e-02,4.872419453743050410e-01,-3.127367772894099562e-04
2.999999999999999889e-01,5.834875223864915972e-01,8.078074255983181892e-03,5.379708849175593964e-03,3.814794723518128428e-01,3.318418968252755952e-01,5.874847008432114714e-01,8.120541561596303804e-05,-1.049709261699090061e-02,1.973120419322147573e-02,-5.408629773237448868e-01
3.099999999999999978e-01,4.050487254003014570e-01,2.220515402335017374e-02,-1.479819939442740019e-03,5.478462025302798244e-01,1.503162076692032278e-01,5.302909833786856320e-01,3.252943874774904404e-02,3.390365295355855096e-02,1.251396740732320422e-04,1.287921158746063374e-02
3.200000000000000067e-01,5.423696879042604335e-01,3.478170365648853429e-02,1.062278065743037583e-02,4.771573638525840044e-01,1.250309514094692376e-01,4.081169076885157176e-01,-3.492460846521710659e-04,6.663284831135657480e-04,2.234777059636641194e-01,2.316337235138453282e-05
3.300000000000000155e-01,5.539621597543925580e-01,-4.071744978994442342e-03,1.334003982243752318e-04,8.014954043998648858e-01,-5.324069989056336681e-03,3.022096244098789741e-01,2.217519890772759851e-04,-1.466667469868129445e-02,-3.128320346023965443e-02,-2.918545221882886284e-06
3.400000000000000244e-01,6.295035175859838850e-01,1.499344123466695711e-01,1.699775299707773302e+00,2.796111120730428445e-01,3.806172073421734137e-01,1.054194180067336450e+00,-6.214413191206159121e-02,1.313561121826984333e-02,2.242320988072517285e-01,1.318841707161996779e-01
3.500000000000000333e-01,4.801578472239611539e-01,1.800562365454110858e-01,3.381092087129139445e-03,2.480233438792480705e-01,2.302612313072437411e-01,3.832097180989737506e-01,2.141506816829164147e-04,-3.523152452875532963e-03,9.053921590008766546e-05,-1.669571715051559099e-03
3.599999999999999867e-01,6.106573591533736023e-01,2.269091638681070000e-02,4.689635111313007580e-03,4.977484285188770730e-01,1.429243144443366476e-01,5.635657802300259034e-01,-5.666744544367414678e-04,5.353583047069019989e-03,2.913810901683737686e-01,4.140706667129435861e-05
3.699999999999999956e-01,5.753988388398819653e-01,1.424691861938560955e-01,1.087426343650686050e-02,5.319078199279843044e-01,3.308306149874052360e-01,3.029233877012393328e-01,7.095044081804682823e-02,2.845114063939022109e-01,-8.090118776985956027e-05,5.625707376891023355e-03
3.800000000000000044e-01,3.881093910174338579e-01,3.977423785264461858e-02,4.309271118459263167e-02,7.983376394584243974e-01,2.302804176766167499e-01,1.037139663970304410e-01,2.081440827040355939e-05,3.664303298229589292e-03,1.422203442010245567e-01,1.628671526513115380e-05
3.900000000000000133e-01,5.311087030307469758e-01,1.635733747177897102e-01,-2.650067550315747533e-02,4.275929426864183425e-01,4.042372309629793103e-01,2.339008473729905779e-01,-8.495731766012568987e-04,9.299833137298925412e-02,-6.899998062492203321e-02,2.362369884148331559e-02
4.000000000000000222e-01,4.268348936777625613e-01,1.095117395859250692e-01,3.124093224146857854e-03,2.129675524920973673e-01,1.317375428223140077e-01,2.526633807114287977e-01,1.817504854639518524e-02,-9.060979407976895716e-01,1.201907064611836690e-01,2.828497403534298016e+00
4.100000000000000311e-01,4.681546848512624370e-01,4.974553342193676064e-01,-3.236160483477142514e-03,4.212848591618928995e-01,1.968222438548975772e-01,4.383715573036389701e-01,3.948235944975240011e-03,9.373222898893176917e-05,3.332183211273333223e-02,3.837782476547679875e-04
4.199999999999999845e-01,4.003889223253183638e-01,4.985983331954224052e-01,5.426721301432405747e-03,3.680612394294909828e-01,3.793648829488208696e-01,4.572580161734961929e-02,-1.349555709513666898e-03,4.880742098329117873e+00,9.108083462436741828e-02,6.443813083131811877e-05
4.299999999999999933e-01,6.084291962148922206e-01,5.228451395235994559e-02,2.152213883693212745e-02,7.195252241754882538e-01,1.852963626778296735e-01,-9.495079655808863831e-03,6.115821683062585515e-05,-1.077902763947138631e-01,3.342853477873786172e-01,4.329217977711729226e+00
4.400000000000000022e-01,6.164671629912702455e-01,1.248106153837513221e-01,1.869946245708915822e-03,5.560081725660755980e-01,5.945340758284355098e-02,2.703513016700696547e-01,-5.638230685739661387e-03,-1.603365765512275054e+00,-1.222796311073834352e-02,5.643115108674337521e-02
4.500000000000000111e-01,5.549592684930255704e-01,2.833196632138421447e-02,1.106199073787795953e-03,2.713811267277736472e-01,5.082446403336002977e-02,3.413960958892091613e-01,6.453367705769205665e-05,1.455726241953737843e-01,6.175339744926987458e-03,-2.962144277286279381e-01
4.600000000000000200e-01,5.199592287633008070e-01,4.023588738116744001e-01,1.764166695321142328e-02,4.047084297041446121e-01,5.496585807233799192e-01,3.532693732650599161e-01,-6.949275208536105468e-03,-2.567062979741234919e-03,6.771548898519373985e-03,-1.134958458364076772e-01
4.700000000000000289e-01,5.323735904297119959e-01,4.328615682627313943e-02,-2.259675603491498146e-03,5.508366537796114404e-01,1.393662932004529342e-01,6.718747852754929084e-02,-3.599555097435639079e-06,2.240935955191266089e+02,6.235615367224606187e-02,1.270542432554159262e+01
4.799999999999999822e-01,4.680378253198811400e-01,2.358124606796433050e-03,-1.412406933513227604e-03,7.421020988789575057e-01,1.898778806246428918e-01,1.364381467938793058e-01,1.783322282921579556e-03,-1.506481854252855079e+00,-3.222582236861914473e-01,2.771077791266804979e+01
4.899999999999999911e-01,5.305190563549004867e-01,2.875137529532723057e-02,-5.790981389513489425e-02,3.672644734321811599e-01,4.134576008993642859e-01,5.564798300928769370e-01,-6.692704348148638127e-01,4.539725102722191430e+00,2.593491006215791761e-01,-2.646098996865617181e+01
5.000000000000000000e-01,2.826311102185158353e-01,1.361538649730087980e-01,1.544785614613548982e-03,2.535371782753330083e-01,1.327247376519654909e-01,2.907245794626192037e-01,-1.757682164347971207e-03,1.777344653617228332e+01,6.143172903184640488e-03,1.311777943595802704e-03
5.100000000000000089e-01,4.206340935257453784e-01,1.407793025661351408e-02,4.538792066850313306e-03,5.967903307098081367e-01,2.605514590252513973e-01,1.727201790652722890e-01,1.444201345098603114e-04,-1.956505430473886864e-01,1.639881551978875918e-01,4.386005184881287988e+01
5.200000000000000178e-01,3.592239590824254369e-01,8.453353846893608969e-02,-1.708671450732941241e-06,5.698654759793575497e-01,-2.465953661362572675e-03,1.950460127373030150e-01,-1.517408192201972475e-04,9.722553953819439630e+04,2.765453679534118393e-03,4.567678721743830483e-05
5.300000000000000266e-01,4.350719984442328325e-01,1.091137977932320757e-01,6.615939499240011521e-07,6.821164281030160925e-01,9.669418855923404138e-03,2.090601532137434659e-01,9.687829878326347649e-04,-1.180398609976000962e-01,9.456313349079800701e-03,8.681217210357956501e-03
5.400000000000000355e-01,4.312732699588133767e-01,1.192095777744477669e-01,-1.193954735751122896e-03,3.631825609777015185e-01,2.852767759345317122e-01,3.209858702853132240e-01,2.024661519719202218e-02,1.911628876607074368e-01,-1.152912459209280358e-02,8.418616354343805242e-04
5.500000000000000444e-01,5.179383926812872740e-01,5.875575787407600128e-03,1.215389210059141401e-04,4.676374946220613893e-01,1.222816499781291116e-01,1.641621493011801158e-01,8.173053056549081175e-04,5.712546371724167329e+03,1.123776444640227704e-02,-4.068813245625607088e-06
5.600000000000000533e-01,4.138208335676941130e-01,1.043924050517167357e-01,5.823943562183522002e-04,5.741203383165496277e-01,1.254239565969930970e-01,1.951675686428681056e-01,-6.371399138382768327e-05,-1.921997056720426691e-03,1.999069493742437059e-02,1.917253238361532123e-06
5.700000000000000622e-01,4.925703075124713282e-01,7.258141441454969700e-02,2.469745111968537927e-03,3.579562088655938168e-01,1.861445629378934499e-02,3.151537368367930969e-01,-6.378279832672296285e-03,-3.588591074694452154e-01,3.684653370734829875e-02,5.693466821917166770e-02
5.799999999999999600e-01,4.099297807405887784e-01,2.515841198957583479e-03,6.361610015838510752e-05,4.807246182635509513e-01,1.730433342780069994e-01,1.346427417267481441e-01,-1.062873101650220996e-03,-1.938223457189482135e-02,4.899367879127368430e-02,1.354982807624530367e-04
5.899999999999999689e-01,3.980149516425692813e-01,1.361261098143148884e-01,9.421053520830734640e-04,5.995795637238323650e-01,4.580628741090259776e-02,1.662881248878413099e-01,2.790474342326446089e-03,-2.104830466855171778e-02,4.193602539979239374e+00,-1.723481251458025586e-04
5.999999999999999778e-01,3.811898533880907491e-01,7.179158641581944410e-03,1.452617024436330144e-03,4.054922840202365153e-01,9.995391807677109219e-02,1.598642491981855929e-01,-2.711437724212481352e-03,1.041373856545197013e-01,2.718274323890926270e-02,-3.750737230812107166e-05
6.099999999999999867e-01,3.495687035137151621e-01,1.684183097311677535e-01,1.038000057790259591e-02,5.675794845718167281e-01,1.809541468202366388e-01,1.734577547256158647e-01,2.442136049722754151e-04,2.422884557924687447e-04,3.215766081275152344e-02,-3.417484675456850240e-05
6.199999999999999956e-01,3.685374035538367954e-01,1.265925215950521876e-01,5.675971614679534843e-02,3.562088183698140509e-01,4.898550625024042371e-01,2.742124211614778706e-01,-3.423156426906409644e-02,-7.623194443762863282e-04,-4.674472368781800585e-02,3.966011757298901728e-03
6.300000000000000044e-01,3.365968626999184532e-01,6.062167837943358700e-02,5.636835106629288494e-03,5.268248937243931174e-01,1.704921263642687201e-01,1.201920113865457135e-01,-2.378195966802642671e-05,-2.954695826742835440e-05,-1.760905100079018445e-02,-3.744086610764356827e-04
6.400000000000000133e-01,3.763283111274728920e-01,9.574102353345054217e-02,-1.001862176675358436e-04,5.288812728821645770e-01,-5.348967619104052357e-03,1.186314855251413558e-01,-5.244667120571330082e-02,-1.785900285091067942e-05,4.160445780166142915e-02,1.548594484336688628e-04
