t,traj_0,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9
0.000000000000000000e+00,1.000000000000029310e+00,9.999999999996737055e-01,1.000000000000079270e+00,9.999999999999986677e-01,9.999999999999313882e-01,1.000000000000039302e+00,9.999999999998400169e-01,9.999999999998994138e-01,9.999999999999577005e-01,9.999999999997236655e-01
1.000000000000000021e-02,8.260784626519923624e-01,7.093880400419179111e-01,9.553240507061604436e-01,6.791192423724593530e-01,9.367863073428198684e-01,8.991100110725510630e-01,9.089548764392033631e-01,4.635498257772030506e-01,7.600823149322981642e-01,7.093983605365046241e-01
2.000000000000000042e-02,9.003525276690034218e-01,8.042937392483845427e-01,9.189148580906804087e-01,7.734426855666342027e-01,9.683622472200608122e-01,7.023055095113276414e-01,8.493101006469244707e-01,8.411215250988314240e-01,8.609640355992650429e-01,8.044001891312781982e-01
2.999999999999999889e-02,7.119602781703935346e-01,9.006756546339825809e-01,9.102980048946007763e-01,7.766669019638317017e-01,6.869163702860636711e-01,9.272322377398317661e-01,7.081827023526302556e-01,8.555702373670618366e-01,7.651745849911542052e-01,9.008617499143687368e-01
4.000000000000000083e-02,6.712231234000327618e-01,8.951360039115571210e-01,9.054623787065845253e-01,5.517184081779982208e-01,8.249792028258572385e-01,8.371007628462193706e-01,7.385026292385608038e-01,8.130237719745914138e-01,9.674285630159202842e-01,8.951021754427245236e-01
5.000000000000000278e-02,5.311325841148677451e-01,9.988411787806451558e-01,8.481252004109245402e-01,4.687007388584283341e-01,8.818395401709865355e-01,6.904122648792883066e-01,6.819378033884933021e-01,5.008249114603737784e-01,6.613321942903906958e-01,9.986231799182273550e-01
5.999999999999999778e-02,1.436097774177063080e+00,5.518096574556022871e-01,8.781879800119518631e-01,1.061406442881877688e+00,7.281095161866864007e-01,8.238654195579594441e-01,8.456295169678633705e-01,1.418567462834829263e+00,1.167172677516260082e+00,5.518749778631146796e-01
7.000000000000000666e-02,9.823283442118040387e-01,8.685412081294650033e-01,8.380075278158416463e-01,6.289955717735480345e-01,9.040839121276932344e-01,9.173807250664077761e-01,7.475760255348683492e-01,8.925888942143078708e-01,9.436683351711204759e-01,8.687939991772725135e-01
8.000000000000000167e-02,8.072267154720544902e-01,9.660888490707402187e-01,7.293613191292992459e-01,7.761532666468452524e-01,5.704723410897251101e-01,6.624725661635607610e-01,7.767214632212795511e-01,5.888197741460278190e-01,5.691441092760856080e-01,9.655592104345828153e-01
8.999999999999999667e-02,9.335312709532200826e-01,6.917185550458186949e-01,7.059681449451771229e-01,6.434779202587491698e-01,1.219538542597817576e+00,8.723178253981137553e-01,9.122746962058380094e-01,9.153874472514775817e-01,9.535384523894341324e-01,6.904538570441409728e-01
1.000000000000000056e-01,7.600730863766352874e-01,9.945353084320135428e-01,7.210215070673289262e-01,8.137606228906772987e-01,6.876217922056155896e-01,9.966282903088035106e-01,7.439518930344682923e-01,8.333642308521370667e-01,7.150792729120516444e-01,9.919131197630076668e-01
1.100000000000000006e-01,6.891124580210097328e-01,7.621990918666197157e-01,9.384530744964303395e-01,6.888228662336330910e-01,6.437251101933562092e-01,9.141714176253494806e-01,5.947172149351113157e-01,5.621199541722168291e-01,7.675195149324671728e-01,7.595954372125776066e-01
1.199999999999999956e-01,7.030085364172325990e-01,9.474853335974016133e-01,7.592052072820055786e-01,6.244030499552257751e-01,7.100748080657387495e-01,7.384084700197789397e-01,7.079478932855134410e-01,6.492149507053723845e-01,6.265365026217921685e-01,9.427329307663596669e-01
1.300000000000000044e-01,6.377923154494928859e-01,9.066660607547225581e-01,8.296181047591492108e-01,8.391488318807877045e-01,6.555909087950495540e-01,9.354863647798478121e-01,7.482006527654183614e-01,7.094915799818312108e-01,6.518787055339848591e-01,9.001042585272447383e-01
1.400000000000000133e-01,1.652732493639775813e+00,5.098481943631486546e-01,5.714090625720100736e-01,1.332881076310054924e+00,1.745314789098999508e+00,8.479722722491397358e-01,1.959620942166711677e+00,1.651874902606498274e+00,1.805297982243864174e+00,5.049568366750670778e-01
1.499999999999999944e-01,8.247970174142214006e-01,9.914094014621993578e-01,7.756740102466488374e-01,4.815424077382952639e-01,5.072186462935164286e-01,6.974468620317165746e-01,6.224075206220965883e-01,5.669739010394362344e-01,5.103281363058869147e-01,9.792838509045123097e-01
1.600000000000000033e-01,8.605181624663232887e-01,9.001079274489216520e-01,6.520220841491078945e-01,6.077104128787298443e-01,6.881401294100285559e-01,8.110054780034992028e-01,7.277853228935988739e-01,1.004733424240051631e+00,8.771797494235612502e-01,8.863258390292085842e-01
1.700000000000000122e-01,7.924045153985704859e-01,8.246992021982316734e-01,9.051558086413643567e-01,8.443025734073871247e-01,8.380057451144462544e-01,9.071753224700654927e-01,7.989131001368745544e-01,6.875652594169755494e-01,8.818722220160767344e-01,8.092470407167454693e-01
1.799999999999999933e-01,7.210263664608560497e-01,8.803684198937328231e-01,7.535452097361117207e-01,5.561182849138933681e-01,9.299125842022363253e-01,6.233117951303184245e-01,7.923298552069459877e-01,8.495890947625598377e-01,8.868026632058743086e-01,8.604542422203822483e-01
1.900000000000000022e-01,7.133964632075207035e-01,7.265070419996902951e-01,7.650984574099072288e-01,5.401292423518097019e-01,9.291231200999993112e-01,8.353431024908072322e-01,7.549870526625191980e-01,5.883091996905068788e-01,7.389257759718268481e-01,7.069181849580145061e-01
2.000000000000000111e-01,4.266120606769188695e-01,9.858809441748088709e-01,7.019819923292364150e-01,7.302044948507924182e-01,7.709867071841631780e-01,9.868782315302867536e-01,5.445171550906046098e-01,6.961824676063075312e-01,8.354226988053405911e-01,9.549379982917064469e-01
2.099999999999999922e-01,1.067428232138892152e+00,7.004741429084504478e-01,7.852213483071797118e-01,9.646194244298076370e-01,8.800014292190526666e-01,9.170350301990154440e-01,8.780019693117465662e-01,7.252443757286720638e-01,8.690642552319537417e-01,6.752305833782089595e-01
2.200000000000000011e-01,1.023216202152509302e+00,7.084068484371124352e-01,8.568539650537490004e-01,1.009377291913682972e+00,1.047465831931310154e+00,7.671717975762911701e-01,1.062141239239066781e+00,9.046199373555334766e-01,1.044062583926450349e+00,6.789530876699714224e-01
