t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999938926631e-01,9.999999999940827333e-01,9.999999999941231454e-01,9.999999999928497196e-01,9.999999999952906560e-01
2.000000000000000042e-02,9.916316794265828127e-01,9.898965645755720688e-01,9.958166654436548804e-01,9.513717187993310231e-01,9.931976013045568097e-01
4.000000000000000083e-02,9.976732514843220656e-01,9.689164041188734755e-01,9.935507713688170872e-01,9.985334984592654228e-01,9.983926858362691670e-01
5.999999999999999778e-02,9.904313754183391438e-01,9.954389099952357656e-01,9.945322962960756463e-01,9.563996712832424363e-01,9.922245534137270617e-01
8.000000000000000167e-02,9.962646492351104888e-01,9.105996730150547336e-01,9.812582790701229740e-01,9.949338783894476901e-01,9.972789414566018973e-01
1.000000000000000056e-01,9.910918673951533142e-01,8.450030558659218372e-01,9.628771742613029261e-01,9.392408232800371071e-01,9.913360934078712106e-01
1.199999999999999956e-01,9.914653485830484669e-01,9.571115283096890414e-01,9.364589754738350535e-01,9.797451893403503753e-01,9.928209949318712590e-01
1.400000000000000133e-01,9.822941278625035855e-01,8.253874707186179549e-01,8.942685992033917453e-01,9.338773103907066497e-01,9.859711413738455610e-01
1.600000000000000033e-01,9.835837326004552850e-01,7.259747148683272089e-01,8.384197625407350252e-01,9.537055856960758859e-01,9.906689345549978265e-01
1.799999999999999933e-01,9.770513267615625885e-01,8.617388638993916938e-01,7.748110033212041170e-01,8.809674274029938301e-01,9.858020238729837681e-01
2.000000000000000111e-01,9.682541628761170971e-01,8.140037107449228371e-01,7.032658023564590799e-01,9.086926929776428796e-01,9.764274107880814846e-01
2.200000000000000011e-01,9.646382810303568700e-01,7.080667769860855554e-01,6.310052451086364256e-01,8.586079413079609202e-01,9.774886589279063731e-01
2.399999999999999911e-01,9.496410096145346813e-01,7.506137318827444949e-01,5.598736396297496754e-01,8.624833312956363685e-01,9.717309459242855496e-01
2.600000000000000089e-01,9.373124892447763923e-01,8.461096502478543391e-01,4.997468120103403244e-01,7.848738059975490788e-01,9.696348085610108081e-01
2.800000000000000266e-01,9.116912884700045794e-01,7.650255000517856008e-01,4.499859480034779091e-01,8.074794072132542855e-01,9.514852912270658214e-01
2.999999999999999889e-01,9.124041017112236585e-01,6.959655403225297743e-01,4.166600288409111341e-01,7.674048593330005108e-01,9.575023654248000504e-01
3.200000000000000067e-01,8.913364237088226005e-01,8.421076314486868331e-01,4.005079083908233972e-01,7.668836763817338253e-01,9.445514347784201847e-01
3.400000000000000244e-01,8.705025548736919916e-01,8.009448973339947653e-01,4.018352009906996924e-01,6.983957802171579798e-01,9.412087184777734317e-01
3.599999999999999867e-01,8.296509192774380592e-01,6.998220523307157048e-01,4.124598659481670815e-01,7.234035330466297431e-01,9.213608605119885109e-01
3.800000000000000044e-01,8.107730131679401486e-01,7.527958743225973137e-01,4.359874378879634582e-01,6.979512605741406972e-01,9.215347873696126957e-01
4.000000000000000222e-01,7.886892213585193767e-01,7.551882028696067506e-01,4.620251034818914082e-01,6.999059639190114979e-01,9.075319965659599530e-01
4.199999999999999845e-01,7.692524623749129598e-01,6.856145632893420050e-01,4.860120600188553852e-01,6.475359471373696163e-01,8.998942505341176457e-01
4.400000000000000022e-01,7.300474045164876413e-01,6.328323256998644730e-01,5.099336275312987832e-01,6.758094277763622149e-01,8.832113374356163060e-01
4.600000000000000200e-01,6.915189977090194784e-01,6.683617837553805785e-01,5.182770628523177825e-01,6.699627364817932751e-01,8.781582847418009097e-01
4.799999999999999822e-01,6.517216512915979809e-01,6.085955531937559115e-01,5.196262287881148190e-01,6.813824365825065232e-01,8.665390046989940309e-01
