t,traj_0,traj_1,traj_2,traj_3,traj_4
0.000000000000000000e+00,9.999999999997972733e-01,9.999999999998652189e-01,9.999999999998007150e-01,9.999999999998827604e-01,1.000000000000053291e+00
2.000000000000000042e-02,8.941128223895561389e-01,8.428506272625162499e-01,7.690909877528372407e-01,6.912387651342823958e-01,9.112202787178635965e-01
4.000000000000000083e-02,7.081222910977108542e-01,9.199727711877585534e-01,7.955018503107181838e-01,7.546850364153470103e-01,7.471100569137744118e-01
5.999999999999999778e-02,8.279557545937596963e-01,7.651110430177170407e-01,7.301577498433845514e-01,8.290090911468881441e-01,8.805910953019353560e-01
8.000000000000000167e-02,9.324992082023104700e-01,7.577194889538371170e-01,6.569933337835139886e-01,8.960195926949877654e-01,8.704255386017905050e-01
1.000000000000000056e-01,9.453869034604303057e-01,4.670977112878572646e-01,9.498279632758679369e-01,9.897622643339514248e-01,5.873846006693560495e-01
1.199999999999999956e-01,8.321060818241360346e-01,8.729332863690788535e-01,9.006306349838357761e-01,9.149821079121084333e-01,6.963155043721881432e-01
1.400000000000000133e-01,6.971639210193728564e-01,6.828564169013544571e-01,8.575020358201749238e-01,8.700195665500317643e-01,9.139193871939104152e-01
1.600000000000000033e-01,9.184747088077838129e-01,9.411663354314540042e-01,7.762964404426137000e-01,7.431757179501307098e-01,8.577719022423815343e-01
1.799999999999999933e-01,9.474152813059948386e-01,7.242641835059238087e-01,7.597948487759776937e-01,6.369347784064119944e-01,7.206844578184379291e-01
2.000000000000000111e-01,8.423924189847179500e-01,3.375724795209819051e-01,7.508690570605531800e-01,9.763824981938872272e-01,8.054477513466924421e-01
2.200000000000000011e-01,7.495226003522784675e-01,7.261454924800753163e-01,6.887246094377520444e-01,7.049396377579512096e-01,8.203616380570846189e-01
2.399999999999999911e-01,7.680628736763422948e-01,8.335613607077104747e-01,7.161184007821038700e-01,7.841812406277319791e-01,6.084153513681370695e-01
2.600000000000000089e-01,8.800177172998198127e-01,5.333069167106563313e-01,5.513776982219414924e-01,7.361303597998487547e-01,6.735878335889504687e-01
2.800000000000000266e-01,9.011363462456297713e-01,6.856851854816629066e-01,6.610979831265839657e-01,8.485633854988763325e-01,7.988598429760571662e-01
2.999999999999999889e-01,7.603114357316080874e-01,5.271767099674727897e-01,7.018150815395930442e-01,8.904225941075503137e-01,7.633657878674677821e-01
3.200000000000000067e-01,6.904817497170026019e-01,1.243625835344422503e+00,5.343659185236123710e-01,8.649389629132241408e-01,6.639504267283079519e-01
3.400000000000000244e-01,8.218188564015102004e-01,9.056920911118199191e-01,6.018931963859479595e-01,8.319329850950003546e-01,6.731403939959575977e-01
3.599999999999999867e-01,7.654412159672407956e-01,6.338331605549251124e-01,5.487393835693674671e-01,7.001048371377408541e-01,7.185506779276389366e-01
3.800000000000000044e-01,7.886897903667497989e-01,3.938241751193849449e-01,4.698402621999832607e-01,5.112054870322980671e-01,4.675607533110858194e-01
4.000000000000000222e-01,6.734161249518052506e-01,3.567868271076900522e-01,4.690199678801977856e-01,8.207269460373858294e-01,4.122901362280914084e-01
4.199999999999999845e-01,6.289350900221341023e-01,1.105650856015819805e+00,4.916270682248586321e-01,5.899111448160864191e-01,6.176756882158183082e-01
4.400000000000000022e-01,7.533633639513153124e-01,3.052004369646798554e-01,4.281424063028659854e-01,7.022348266306718267e-01,6.401594951601878858e-01
4.600000000000000200e-01,6.655318727214865060e-01,5.567591708109687065e-01,4.192365618430661245e-01,5.576531326697966584e-01,5.748623371315494390e-01
4.799999999999999822e-01,6.580844841700420611e-01,4.573651508677101796e-01,3.676183269644859308e-01,6.739077150523281601e-01,6.318780575112005193e-01
