t,avg_L
0.000000000000000000e+00,1.000000000000702105e+00
2.000000000000000042e-02,9.952059399237597193e-01
4.000000000000000083e-02,9.967423094464601396e-01
5.999999999999999778e-02,9.944419893684128819e-01
8.000000000000000167e-02,9.960734936393574879e-01
1.000000000000000056e-01,9.947565251508057038e-01
1.199999999999999956e-01,9.916419964716741697e-01
1.400000000000000133e-01,9.868353925660164894e-01
1.600000000000000033e-01,9.857429418265256649e-01
1.799999999999999933e-01,9.718286275476247793e-01
2.000000000000000111e-01,9.690745979840873492e-01
2.200000000000000011e-01,9.505618995605512600e-01
2.399999999999999911e-01,9.423612419034722576e-01
2.600000000000000089e-01,9.437025121749799128e-01
2.800000000000000266e-01,9.236086334137372233e-01
2.999999999999999889e-01,9.068037037750490414e-01
3.200000000000000067e-01,9.100452764572319886e-01
3.400000000000000244e-01,9.145313590475203647e-01
3.599999999999999867e-01,9.069928376273480586e-01
3.800000000000000044e-01,8.852899001905893961e-01
4.000000000000000222e-01,8.902476655037191433e-01
4.199999999999999845e-01,8.731055978257996619e-01
4.400000000000000022e-01,8.695483955432995460e-01
4.600000000000000200e-01,8.460554424939736862e-01
4.799999999999999822e-01,8.394397702291150898e-01
5.000000000000000000e-01,8.199335968745947723e-01
5.200000000000000178e-01,8.307425497618151633e-01
5.400000000000000355e-01,8.255172468358049631e-01
5.600000000000000533e-01,7.950014687229683963e-01
5.799999999999999600e-01,7.803394169910967682e-01
5.999999999999999778e-01,7.594214014076978714e-01
6.199999999999999956e-01,7.369809317675349858e-01
6.400000000000000133e-01,7.031854130586645546e-01
6.600000000000000311e-01,6.910799997148788787e-01
6.800000000000000488e-01,6.579568390617440699e-01
7.000000000000000666e-01,6.397270613651206972e-01
7.199999999999999734e-01,6.051543852165713888e-01
7.399999999999999911e-01,5.672298806334550303e-01
7.600000000000000089e-01,5.422280279652440527e-01
7.800000000000000266e-01,5.245896639146042650e-01
8.000000000000000444e-01,4.835682884559333594e-01
8.200000000000000622e-01,4.626443255669356325e-01
8.399999999999999689e-01,4.536815007709282810e-01
8.599999999999999867e-01,4.400131869432746257e-01
8.800000000000000044e-01,4.199120720152278441e-01
9.000000000000000222e-01,4.009298736993648915e-01
9.200000000000000400e-01,3.886220162857456639e-01
9.400000000000000577e-01,3.791381622816017427e-01
9.599999999999999645e-01,3.605225239391999237e-01
9.799999999999999822e-01,3.394082099925729845e-01
1.000000000000000000e+00,3.303814774700785106e-01
1.020000000000000018e+00,3.134245209857006720e-01
1.040000000000000036e+00,3.001921906686761399e-01
1.060000000000000053e+00,2.815219324091469133e-01
1.080000000000000071e+00,2.583548586917611134e-01
1.100000000000000089e+00,2.380191405427681262e-01
1.120000000000000107e+00,2.264967090058428445e-01
1.140000000000000124e+00,2.021471629703202322e-01
1.159999999999999920e+00,1.887292898313089884e-01
1.179999999999999938e+00,1.769341882603280014e-01
1.199999999999999956e+00,1.759914726327504175e-01
