t,avg_L
0.000000000000000000e+00,9.999999999987194688e-01
2.000000000000000042e-02,1.104830069812500870e+00
4.000000000000000083e-02,6.079944306167415352e-02
5.999999999999999778e-02,8.678488031162776006e-02
8.000000000000000167e-02,2.821535030428683477e-01
1.000000000000000056e-01,8.013409562323986490e-02
1.199999999999999956e-01,-1.818800302498865662e+01
1.400000000000000133e-01,1.876097166279461215e-02
1.600000000000000033e-01,-9.922012349076650417e-02
1.799999999999999933e-01,5.745086011140099896e-02
2.000000000000000111e-01,1.352212797142662501e-02
2.200000000000000011e-01,1.196402752143171995e+02
2.399999999999999911e-01,-6.462346257274122208e-02
2.600000000000000089e-01,3.956885071378438840e-02
2.800000000000000266e-01,4.603397801125906630e-02
2.999999999999999889e-01,1.684742691363457726e-03
3.200000000000000067e-01,-2.424403203143781866e+03
3.400000000000000244e-01,-2.538991862000490318e-01
3.599999999999999867e-01,8.612798323927530267e-03
3.800000000000000044e-01,2.645319555174556209e-03
4.000000000000000222e-01,2.720762990358394952e-04
4.199999999999999845e-01,-4.114012063489864522e+04
4.400000000000000022e-01,-3.838703408529747230e-01
4.600000000000000200e-01,-4.324965404659669721e-02
4.799999999999999822e-01,5.649081234995239004e-04
5.000000000000000000e-01,2.263820483429657680e-04
5.200000000000000178e-01,-5.149091348787856987e+04
5.400000000000000355e-01,-5.246544531681912815e+00
5.600000000000000533e-01,1.409328576382331936e-02
5.799999999999999600e-01,5.916674467880442230e-05
5.999999999999999778e-01,2.379551675998468506e-04
6.199999999999999956e-01,-5.372589308348434279e+05
6.400000000000000133e-01,-2.833554270876604164e+00
6.600000000000000311e-01,1.303216396541534471e-03
6.800000000000000488e-01,1.476867538464286011e-05
7.000000000000000666e-01,1.309650716722273204e-04
7.199999999999999734e-01,-1.332188523790479405e+06
7.399999999999999911e-01,-1.874423407250360540e+01
7.600000000000000089e-01,-1.961988139570000752e-04
7.800000000000000266e-01,1.829227059584850374e-05
8.000000000000000444e-01,2.619684990902279635e-05
8.200000000000000622e-01,3.942866187077890150e+06
8.399999999999999689e-01,3.615832770366323778e+00
8.599999999999999867e-01,-5.224137071286277887e-04
8.800000000000000044e-01,3.551970779491728404e-05
9.000000000000000222e-01,-1.045343699278251741e-04
9.200000000000000400e-01,-6.296229845861086249e+07
9.400000000000000577e-01,-2.414126485247262144e-01
9.599999999999999645e-01,-2.238225430472222543e-05
9.799999999999999822e-01,2.626194911790126450e-05
1.000000000000000000e+00,-3.119016426103071916e-05
1.020000000000000018e+00,-1.656969899807766825e+07
1.040000000000000036e+00,-2.055000648737147773e-01
1.060000000000000053e+00,-5.228373265832190915e-06
1.080000000000000071e+00,2.064113688953874760e-04
1.100000000000000089e+00,-5.383858742771443763e-05
1.120000000000000107e+00,2.578336829144206271e+07
1.140000000000000124e+00,-1.556859949770281748e-01
1.159999999999999920e+00,1.522735040907500487e-05
1.179999999999999938e+00,2.374417676732002282e-04
1.199999999999999956e+00,-3.044121667820029746e-04
1.219999999999999973e+00,-5.278695008596295118e+07
1.239999999999999991e+00,-3.224805810979958914e-02
1.260000000000000009e+00,2.044307105239256632e-06
1.280000000000000027e+00,1.331836244800034281e-03
1.300000000000000044e+00,-7.258216455476091582e-04
1.320000000000000062e+00,4.979574951831569342e+04
1.340000000000000080e+00,1.093104312761031607e-02
1.360000000000000098e+00,2.849129092919842243e-06
1.380000000000000115e+00,1.481800174525618394e-02
1.400000000000000133e+00,-2.714440225894693831e-04
1.419999999999999929e+00,6.575089481649196241e+05
1.439999999999999947e+00,9.180523587081186945e-04
1.459999999999999964e+00,1.416725950052949969e-06
1.479999999999999982e+00,4.206931979329367466e-02
1.500000000000000000e+00,-1.684010515553082104e-03
1.520000000000000018e+00,3.101996018777508289e+05
1.540000000000000036e+00,-3.844910334884379228e-04
1.560000000000000053e+00,5.328000189200671643e-07
1.580000000000000071e+00,6.223098070427347528e-01
1.600000000000000089e+00,1.507033643283703503e-03
1.620000000000000107e+00,1.428674518434740457e+04
1.640000000000000124e+00,-4.842475741753692243e-05
1.660000000000000142e+00,7.034311794218555826e-07
1.679999999999999938e+00,-7.310096186537575136e+01
1.699999999999999956e+00,1.368277990445793298e-03
